step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
6866,0.25019932,0.0066034794,1,10337.016260754637,10334.227396662502,4.2127
6873,0.2008847,0.02398479,0,10285.28947199812,10285.28947199812,4.6663
6875,0.2405119,0.039783,0,10285.28947199812,10285.28947199812,4.6663
6883,0.26853943,0.044483423,1,10285.18947199812,10283.135208816335,4.6863
6884,0.28938055,0.04484141,1,10285.18947199812,10282.450454422407,4.6926
6885,0.22927904,0.045961976,1,10285.18947199812,10270.672678846844,4.8018
6889,0.36979938,0.031856656,1,10229.849356819379,10226.485240513564,5.2114
6917,0.24437606,0.041733146,0,10154.188779141443,10154.188779141443,5.8815
6918,0.274243,0.043556333,1,10154.088779141443,10151.958395955397,5.9022
6919,0.30862653,0.045879483,1,10154.088779141443,10163.320439614306,5.7969
6921,-0.2202462,-0.12655687,1,10154.088779141443,10165.592848346087,5.7758
6930,0.25420988,-0.031519473,1,10098.29447584911,10095.722465173041,6.4234
7034,-0.20782572,-0.11765528,0,10199.360660093917,10199.360660093917,5.4628
7035,-0.28695965,0.08138931,-1,10199.260660093916,10192.972894992117,5.522
7038,-0.24389648,-0.5156731,-1,10199.260660093916,10225.669273521478,5.2189
7039,-0.5565001,-0.63054824,-1,10199.260660093916,10261.7191267718,4.8848
7040,-0.6043689,-0.50439095,-1,10199.260660093916,10278.905684716721,4.7255
7041,-0.47034883,-0.2103492,-1,10199.260660093916,10283.516712458042,4.6828
7042,-0.21989268,0.061439514,-1,10199.260660093916,10235.729697684359,5.1257
7045,0.25517714,0.008148193,1,10320.99707052474,10314.501724814156,4.3956
7046,0.24642241,0.009444833,1,10320.99707052474,10307.140333008825,4.4638
7047,-0.5326503,-0.7716748,0,10268.322909833669,10268.322909833669,4.8236
7048,-0.2077269,-0.047315955,0,10268.322909833669,10268.322909833669,4.8236
7050,0.24090457,-0.23918194,0,10268.322909833669,10268.322909833669,4.8236
7051,0.21927106,-0.25470895,0,10268.322909833669,10268.322909833669,4.8236
7052,0.24220383,-0.19154811,0,10268.322909833669,10268.322909833669,4.8236
7054,0.20680714,-0.24212778,0,10268.322909833669,10268.322909833669,4.8236
7062,-0.23107839,-0.18636191,0,10268.322909833669,10268.322909833669,4.8236
7101,0.39802969,-0.033254087,1,10268.222909833668,10262.22297666322,4.8801
7102,0.36633646,-0.015869975,0,10186.480963163882,10186.480963163882,5.5822
7118,0.27100253,-0.0024303794,1,10186.380963163881,10179.52039457287,5.6467
7119,0.3358307,0.061151862,0,10131.16972069335,10131.16972069335,6.0949
7120,0.2761383,0.04312086,1,10131.06972069335,10126.304944954305,6.1399
7122,-0.40634423,-0.6191234,1,10131.06972069335,10134.881541284585,6.0604
7126,0.21039486,-0.44431806,1,10131.06972069335,10215.24742541646,5.3155
7127,0.37781024,-0.36722028,1,10131.06972069335,10240.024259259493,5.0859
7128,0.29242682,-0.14668643,0,10245.38658423879,10245.38658423879,5.0362
7140,0.20980382,-0.27909094,0,10245.38658423879,10245.38658423879,5.0362
7145,-0.4017393,-0.10456425,-1,10245.28658423879,10238.026150557562,5.1044
7146,-0.3958549,-0.11189389,-1,10245.28658423879,10236.090034909235,5.1224
7147,-0.4953245,-0.53127867,0,10162.967095691141,10162.967095691141,5.8001
7148,-0.22622108,-0.15725619,0,10162.967095691141,10162.967095691141,5.8001
7151,-0.23808777,-0.154163,0,10162.967095691141,10162.967095691141,5.8001
